"","from_id","to_id","travel_time_p50"
"993","15653","3",26
"994","15680","1",12
"995","15680","2",22
"996","15680","3",24
"997","15683","1",12
"998","15683","2",19
"999","15683","3",21
"1000","15684","1",12
"1001","15684","2",19
"1002","15684","3",21
"1003","15687","1",13
"1004","15687","2",19
"1005","15687","3",21
"1006","15688","1",13
"1007","15688","2",19
"1008","15688","3",22
"1009","15689","1",13
"1010","15689","2",19
"1011","15689","3",22
"1012","15695","1",15
"1013","15695","2",20
"1014","15695","3",22
"1015","15696","1",16
"1016","15696","2",20
"1017","15696","3",23
"1018","15697","1",15
"1019","15697","2",20
"1020","15697","3",22
"1021","15698","1",16
"1022","15698","2",20
"1023","15698","3",22
"1024","15699","1",16
"1025","15699","2",21
"1026","15699","3",23
"1027","15859","1",35
"1028","15859","2",34
"1029","15859","3",35
"1030","15873","1",28
"1031","15873","2",28
"1032","15873","3",28
"1033","15878","1",24
"1034","15878","2",24
"1035","15878","3",24
"1036","15884","1",26
"1037","15884","2",26
"1038","15884","3",26
"1039","15885","1",26
"1040","15885","2",26
"1041","15885","3",26
"1042","15886","1",25
"1043","15886","2",25
"1044","15886","3",25
"1045","15887","1",27
"1046","15887","2",26
"1047","15887","3",27
"1048","15908","1",17
"1049","15908","2",26
"1050","15908","3",28
"1051","15918","1",12
"1052","15918","2",19
"1053","15918","3",21
"1054","15922","1",13
"1055","15922","2",19
"1056","15922","3",21
"1057","15923","1",13
"1058","15923","2",20
"1059","15923","3",22
"1060","15925","1",13
"1061","15925","2",18
"1062","15925","3",21
"1063","15929","1",14
"1064","15929","2",19
"1065","15929","3",21
"1066","15932","1",16
"1067","15932","2",21
"1068","15932","3",23
"1069","15945","1",18
"1070","15945","2",19
"1071","15945","3",21
"1072","15997","1",29
"1073","15997","2",7
"1074","15997","3",21
"1075","16108","1",28
"1076","16108","2",28
"1077","16108","3",28
"1078","16113","1",25
"1079","16113","2",24
"1080","16113","3",25
"1081","16114","1",24
"1082","16114","2",23
"1083","16114","3",24
"1084","16118","1",27
"1085","16118","2",26
"1086","16118","3",27
"1087","16119","1",26
"1088","16119","2",26
"1089","16119","3",26
"1090","16121","1",27
"1091","16121","2",26
"1092","16121","3",27
"1093","16122","1",27
"1094","16122","2",27
"1095","16122","3",27
"1096","16152","1",12
"1097","16152","2",19
"1098","16152","3",21
"1099","16155","1",13
"1100","16155","2",19
"1101","16155","3",21
"1102","16156","1",13
"1103","16156","2",20
"1104","16156","3",22
"1105","16158","1",13
"1106","16158","2",19
"1107","16158","3",21
"1108","16159","1",13
"1109","16159","2",19
"1110","16159","3",21
"1111","16160","1",14
"1112","16160","2",19
"1113","16160","3",21
"1114","16164","1",15
"1115","16164","2",19
"1116","16164","3",21
"1117","16165","1",15
"1118","16165","2",20
"1119","16165","3",22
"1120","16166","1",15
"1121","16166","2",20
"1122","16166","3",22
"1123","16167","1",17
"1124","16167","2",21
"1125","16167","3",24
"1126","16169","1",16
"1127","16169","2",19
"1128","16169","3",21
"1129","16170","1",16
"1130","16170","2",19
"1131","16170","3",21
"1132","16172","1",17
"1133","16172","2",20
"1134","16172","3",22
"1135","16177","1",18
"1136","16177","2",19
"1137","16177","3",21
"1138","16179","1",17
"1139","16179","2",19
"1140","16179","3",21
"1141","16231","1",29
"1142","16231","2",6
"1143","16231","3",21
"1144","16232","1",28
"1145","16232","2",6
"1146","16232","3",20
"1147","16233","1",28
"1148","16233","2",6
"1149","16233","3",20
"1150","16237","1",27
"1151","16237","2",4
"1152","16237","3",19
"1153","16238","1",27
"1154","16238","2",4
"1155","16238","3",19
"1156","16342","1",28
"1157","16342","2",28
"1158","16342","3",28
"1159","16344","1",28
"1160","16344","2",27
"1161","16344","3",28
"1162","16350","1",25
"1163","16350","2",24
"1164","16350","3",25
"1165","16351","1",24
"1166","16351","2",23
"1167","16351","3",24
"1168","16355","1",25
"1169","16355","2",24
"1170","16355","3",25
"1171","16356","1",25
"1172","16356","2",24
"1173","16356","3",25
"1174","16357","1",26
"1175","16357","2",26
"1176","16357","3",26
"1177","16380","1",14
"1178","16380","2",23
"1179","16380","3",25
"1180","16386","1",11
"1181","16386","2",19
"1182","16386","3",21
"1183","16388","1",13
"1184","16388","2",21
"1185","16388","3",23
"1186","16389","1",12
"1187","16389","2",19
"1188","16389","3",21
"1189","16394","1",15
"1190","16394","2",21
"1191","16394","3",23
"1192","16395","1",15
"1193","16395","2",20
"1194","16395","3",22
"1195","16396","1",15
"1196","16396","2",20
"1197","16396","3",22
"1198","16397","1",13
"1199","16397","2",19
"1200","16397","3",21
"1201","16398","1",13
"1202","16398","2",18
"1203","16398","3",20
"1204","16401","1",13
"1205","16401","2",18
"1206","16401","3",20
"1207","16402","1",14
"1208","16402","2",18
"1209","16402","3",20
"1210","16404","1",15
"1211","16404","2",18
"1212","16404","3",20
"1213","16406","1",16
"1214","16406","2",19
"1215","16406","3",21
"1216","16407","1",16
"1217","16407","2",19
"1218","16407","3",21
"1219","16409","1",19
"1220","16409","2",20
"1221","16409","3",22
"1222","16411","1",18
"1223","16411","2",20
"1224","16411","3",22
"1225","16414","1",17
"1226","16414","2",18
"1227","16414","3",20
"1228","16415","1",18
"1229","16415","2",19
"1230","16415","3",21
"1231","16416","1",20
"1232","16416","2",21
"1233","16416","3",23
"1234","16417","1",21
"1235","16417","2",22
"1236","16417","3",24
"1237","16577","1",29
"1238","16577","2",28
"1239","16577","3",29
"1240","16579","1",27
"1241","16579","2",27
"1242","16579","3",27
"1243","16580","1",27
"1244","16580","2",27
"1245","16580","3",27
"1246","16582","1",28
"1247","16582","2",27
"1248","16582","3",28
"1249","16590","1",24
"1250","16590","2",23
"1251","16590","3",24
"1252","16591","1",25
"1253","16591","2",24
"1254","16591","3",25
"1255","16592","1",27
"1256","16592","2",26
"1257","16592","3",27
"1258","16614","1",16
"1259","16614","2",25
